Time (s),Main Avg Current (mA)
0.1740,3.808
0.1742,3.744
0.1744,3.772
0.1746,3.816
0.1748,3.81
0.1750,3.78
0.1752,3.786
0.1754,3.744
0.1756,3.822
0.1758,3.792
0.1760,3.742
0.1762,3.774
0.1764,3.78
0.1766,3.78
0.1768,3.796
0.1770,3.824
0.1772,3.72
0.1774,3.748
0.1776,3.822
0.1778,3.774
0.1780,3.766
0.1782,3.758
0.1784,3.832
0.1786,3.728
0.1788,3.782
0.1790,3.766
0.1792,3.76
0.1794,3.824
0.1796,3.77
0.1798,3.758
0.1800,3.752
0.1802,3.836
0.1804,3.738
0.1806,3.788
0.1808,3.76
0.1810,3.76
0.1812,3.83
0.1814,3.77
0.1816,3.796
0.1818,3.796
0.1820,3.766
0.1822,3.742
0.1824,3.76
0.1826,3.848
0.1828,3.846
0.1830,3.774
0.1832,3.782
0.1834,3.734
0.1836,3.876
0.1838,3.808
0.1840,3.81
0.1842,3.77
0.1844,3.758
0.1846,3.772
0.1848,3.824
0.1850,3.862
0.1852,3.808
0.1854,3.772
0.1856,3.796
0.1858,3.86
0.1860,3.774
0.1862,3.778
0.1864,3.794
0.1866,3.854
0.1868,3.804
0.1870,3.742
0.1872,3.786
0.1874,3.866
0.1876,3.794
0.1878,3.796
0.1880,3.788
0.1882,3.824
0.1884,3.77
0.1886,3.81
0.1888,3.814
0.1890,3.808
0.1892,3.772
0.1894,3.788
0.1896,3.802
0.1898,3.8
0.1900,3.836
0.1902,3.782
0.1904,3.77
0.1906,3.826
0.1908,3.816
0.1910,3.766
0.1912,3.78
0.1914,3.778
0.1916,3.756
0.1918,3.836
0.1920,3.824
0.1922,3.728
0.1924,3.774
0.1926,3.774
0.1928,3.808
0.1930,3.772
0.1932,3.72
0.1934,3.814
0.1936,3.774
0.1938,3.8
0.1940,3.782
0.1942,3.722
0.1944,3.77
0.1946,3.808
0.1948,3.808
0.1950,3.736
0.1952,3.78
0.1954,3.774
0.1956,3.816
0.1958,3.738
0.1960,3.818
0.1962,3.77
0.1964,3.788
0.1966,3.764
0.1968,3.738
0.1970,3.77
0.1972,3.89
0.1974,3.796
0.1976,3.728
0.1978,3.786
0.1980,3.8
0.1982,3.786
0.1984,3.686
0.1986,3.77
0.1988,3.89
0.1990,3.774
0.1992,3.78
0.1994,3.822
0.1996,3.774
0.1998,3.778
0.2000,3.818
0.2002,3.752
0.2004,3.826
0.2006,3.816
0.2008,3.818
0.2010,3.73
0.2012,3.866
0.2014,3.738
0.2016,3.848
0.2018,3.794
0.2020,3.782
0.2022,3.822
0.2024,3.792
0.2026,3.764
0.2028,3.804
0.2030,3.824
0.2032,3.832
0.2034,3.758
0.2036,3.764
0.2038,3.826
0.2040,3.832
0.2042,3.832
0.2044,3.818
0.2046,3.816
0.2048,3.778
0.2050,3.766
0.2052,3.804
0.2054,3.804
0.2056,3.826
0.2058,3.778
0.2060,3.766
0.2062,3.862
0.2064,3.8
0.2066,3.742
0.2068,3.824
0.2070,3.792
0.2072,3.786
0.2074,3.8
0.2076,3.814
0.2078,3.8
0.2080,3.8
0.2082,3.75
0.2084,3.758
0.2086,3.83
0.2088,3.782
0.2090,3.792
0.2092,3.758
0.2094,3.764
0.2096,3.774
0.2098,3.738
0.2100,3.832
0.2102,3.778
0.2104,3.78
0.2106,3.822
0.2108,3.794
0.2110,3.75
0.2112,3.78
0.2114,3.75
0.2116,3.796
0.2118,3.78
0.2120,3.75
0.2122,3.844
0.2124,3.744
0.2126,3.782
0.2128,3.764
0.2130,3.792
0.2132,3.81
0.2134,3.728
0.2136,3.774
0.2138,3.8
0.2140,3.83
0.2142,3.774
0.2144,3.778
0.2146,3.764
0.2148,3.804
0.2150,3.772
0.2152,3.78
0.2154,3.78
0.2156,3.734
0.2158,3.794
0.2160,3.774
0.2162,3.858
0.2164,3.764
0.2166,3.792
0.2168,3.778
0.2170,3.786
0.2172,3.854
0.2174,3.794
0.2176,3.802
0.2178,3.816
0.2180,3.744
0.2182,3.8
0.2184,3.836
0.2186,3.804
0.2188,3.772
0.2190,3.826
0.2192,3.852
0.2194,3.734
0.2196,3.826
0.2198,3.788
0.2200,3.802
0.2202,3.832
0.2204,3.832
0.2206,3.782
